subject	duration	condition
1	366	1
1	172	1
1	251	1
1	198	1
1	232	1
1	192	1
1	183	1
1	224	1
1	166	1
1	298	1
1	159	1
1	230	1
1	306	1
1	229	1
1	155	1
1	169	1
1	170	1
1	205	1
1	241	1
1	197	1
1	250	1
1	238	1
1	139	1
1	278	1
2	161	1
2	189	1
2	200	1
2	271	1
2	169	1
2	153	1
2	180	1
2	145	1
2	224	1
2	181	1
2	190	1
2	241	1
2	167	1
2	274	1
2	214	1
3	411	1
3	221	1
3	230	1
3	202	1
3	192	1
3	227	1
3	224	1
3	158	1
3	162	1
3	270	1
3	93	1
3	218	1
3	297	1
3	252	1
3	188	1
3	253	1
3	197	1
3	211	1
4	270	1
4	330	1
4	248	1
4	284	1
4	187	1
4	292	1
4	210	1
4	287	1
4	328	1
4	199	1
4	332	1
4	313	1
4	221	1
4	150	1
4	284	1
4	245	1
4	377	1
4	192	1
4	449	1
4	256	1
4	205	1
4	338	1
4	214	1
4	242	1
4	222	1
4	250	1
4	346	1
5	297	1
5	272	1
5	290	1
5	258	1
5	335	1
5	165	1
5	227	1
5	239	1
5	440	1
5	331	1
5	250	1
5	186	1
5	181	1
5	201	1
5	378	1
5	199	1
5	180	1
5	275	1
5	248	1
5	535	1
5	150	1
5	625	1
5	319	1
5	309	1
5	180	1
5	167	1
5	266	1
5	288	1
5	393	1
5	297	1
5	171	1
5	416	1
5	184	1
5	469	1
5	250	1
5	259	1
6	384	1
6	525	1
6	191	1
6	185	1
6	251	1
6	226	1
6	223	1
6	265	1
6	246	1
6	218	1
6	240	1
6	245	1
6	216	1
6	320	1
6	373	1
6	162	1
6	176	1
6	298	1
6	446	1
6	186	1
6	199	1
6	173	1
6	189	1
6	230	1
6	189	1
6	159	1
6	182	1
6	221	1
7	239	1
7	243	1
7	279	1
7	240	1
7	335	1
7	352	1
7	293	1
7	280	1
7	222	1
7	174	1
7	222	1
7	263	1
7	158	1
7	236	1
7	109	1
7	213	1
7	239	1
7	394	1
7	320	1
7	211	1
7	281	1
7	203	1
7	341	1
7	224	1
7	231	1
7	256	1
7	231	1
7	245	1
8	209	1
8	177	1
8	409	1
8	184	1
8	172	1
8	288	1
8	172	1
8	280	1
8	218	1
8	159	1
8	190	1
8	236	1
8	192	1
8	177	1
8	138	1
8	198	1
8	266	1
8	171	1
8	213	1
8	137	1
8	199	1
8	165	1
8	226	1
8	260	1
8	203	1
8	695	1
8	210	1
8	150	1
8	195	1
8	192	1
8	194	1
8	465	1
9	341	1
9	187	1
9	492	1
9	192	1
9	273	1
9	240	1
9	216	1
9	240	1
9	264	1
9	209	1
9	215	1
9	300	1
9	302	1
9	224	1
9	231	1
9	396	1
9	169	1
9	264	1
9	179	1
9	279	1
9	232	1
9	235	1
9	244	1
9	248	1
9	211	1
9	287	1
9	348	1
9	164	1
9	218	1
9	297	1
10	186	1
10	140	1
10	223	1
10	159	1
10	295	1
10	115	1
10	295	1
10	148	1
10	167	1
10	299	1
10	223	1
10	228	1
10	178	1
10	172	1
10	238	1
10	188	1
10	179	1
10	190	1
10	205	1
10	320	1
10	238	1
10	357	1
10	387	1
11	159	1
11	180	1
11	300	1
11	239	1
11	154	1
11	166	1
11	332	1
11	178	1
11	142	1
11	239	1
11	153	1
11	182	1
11	120	1
11	166	1
11	197	1
11	161	1
11	206	1
11	140	1
11	155	1
11	150	1
11	123	1
11	175	1
