item sound pos
126 PRAC 1
124 PRAC 1
125 PRAC 1
122 PRAC 1
121 PRAC 1
123 PRAC 1
30 SLC 3
21 SLC 2
38 SLC 3
29 SLC 2
34 SLC 3
26 SLC 3
13 SLC 2
20 SLC 5
12 SLC 5
17 SLC 2
4 SLC 5
32 SLC 5
39 SLC 4
15 SLC 4
22 SLC 3
24 SLC 5
31 SLC 4
10 SLC 3
6 SLC 3
40 SLC 5
8 SLC 5
33 SLC 2
27 SLC 4
25 SLC 2
19 SLC 4
28 SLC 5
23 SLC 4
7 SLC 4
14 SLC 3
35 SLC 4
2 SLC 3
11 SLC 4
37 SLC 2
1 SLC 2
18 SLC 3
9 SLC 2
16 SLC 5
36 SLC 5
5 SLC 2
3 SLC 4
41 STD 2
42 STD 3
43 STD 4
107 DEV 4
59 STD 4
119 DEV 4
110 DEV 3
104 DEV 5
73 STD 2
45 STD 2
58 STD 3
117 DEV 2
91 DEV 4
105 DEV 2
49 STD 2
87 DEV 4
83 DEV 4
118 DEV 3
56 STD 5
94 DEV 3
51 STD 4
80 STD 5
113 DEV 2
50 STD 3
101 DEV 2
68 STD 5
109 DEV 2
72 STD 5
89 DEV 2
60 STD 5
98 DEV 3
100 DEV 5
70 STD 3
103 DEV 4
55 STD 4
53 STD 2
102 DEV 3
93 DEV 2
99 DEV 4
85 DEV 2
69 STD 2
77 STD 2
71 STD 4
108 DEV 5
106 DEV 3
82 DEV 3
47 STD 4
78 STD 3
95 DEV 4
75 STD 4
88 DEV 5
64 STD 5
90 DEV 3
74 STD 3
81 DEV 2
79 STD 4
97 DEV 2
116 DEV 5
76 STD 5
114 DEV 3
112 DEV 5
120 DEV 5
92 DEV 5
62 STD 3
61 STD 2
86 DEV 3
66 STD 3
115 DEV 4
44 STD 5
54 STD 3
48 STD 5
52 STD 5
46 STD 3
96 DEV 5
111 DEV 4
57 STD 2
84 DEV 5
67 STD 4
65 STD 2
63 STD 4
