item	word	Critical_word	Len	Zipf	 DomPoS	 FreqCount	 BNC_freq	Freq_mil
1	5	carpet	6	4.25	 noun	3575	2411	17.8
1	7	their	5	6.28	 pronoun	384298	260919	1908.7
1	9	room	4	5.6	 noun	79926	30920	397.0
1	11	returning	9	4.25	 verb	3603	3507	17.9
2	5	right	5	6.36	 adverb	463884	87633	2304.0
2	7	after	5	5.94	 preposition	175461	117138	871.5
2	9	lost	4	5.42	 verb	53100	19420	263.7
2	11	driving	7	4.88	 verb	15194	6479	75.5
3	5	private	7	5.02	 adjective	20925	17419	103.9
3	7	behind	6	5.42	 preposition	52851	23698	262.5
3	9	apartments	10	3.55	 noun	714	633	3.5
3	11	practise	8	4.25	 verb	3608	1320	17.9
4	5	antique	7	4.23	 adjective	3389	871	16.8
4	7	when	4	6.34	 adverb	439946	214281	2185.1
4	9	visited	7	4.33	 verb	4343	4298	21.6
4	11	auction	7	5.17	 noun	29909	1327	148.6
5	5	giving	6	5.12	 verb	26597	12712	132.1
5	7	short	5	5.13	 adjective	26871	18652	133.5
5	9	before	6	5.88	 preposition	153732	88275	763.6
5	11	panel	5	4.39	 noun	4915	3688	24.4
6	5	serene	6	3.18	 adjective	301	222	1.5
6	7	following	9	4.88	 verb	15370	26987	76.3
6	9	difficult	9	5.4	 adjective	51162	22033	254.1
6	11	earlier	7	5.11	 adverb	25891	16699	128.6
7	5	fresh	5	4.89	 adjective	15760	6810	78.3
7	7	fruits	6	3.85	 noun	1429	999	7.1
7	9	support	7	5.29	 noun	38917	29835	193.3
7	11	farmers	7	4.53	 noun	6769	5038	33.6
8	5	after	5	5.94	 preposition	175461	117138	871.5
8	7	insensitive	11	3.14	 adjective	276	324	1.4
8	9	created	7	4.83	 verb	13672	8779	67.9
8	11	social	6	4.97	 adjective	18768	42269	93.2
9	5	brief	5	4.26	 adjective	3647	5379	18.1
9	7	concerning	10	3.63	 verb	866	3396	4.3
9	9	manager	7	4.9	 noun	16102	13846	80.0
9	11	caused	6	4.7	 verb	10128	9574	50.3
10	5	struggled	9	4.16	 verb	2901	1351	14.4
10	7	read	4	5.14	 verb	27812	22701	138.1
10	9	road	4	5.28	 noun	38433	27401	190.9
10	11	during	6	5.18	 preposition	30343	44013	150.7
11	5	faulty	6	3.46	 adjective	585	520	2.9
11	7	which	5	6.26	 determiner	370900	372034	1842.2
11	9	caused	6	4.7	 verb	10128	9574	50.3
11	11	entire	6	4.72	 adjective	10557	4832	52.4
12	5	money	5	5.84	 noun	138993	37367	690.4
12	7	real	4	5.53	 adjective	68410	23180	339.8
12	9	during	6	5.18	 preposition	30343	44013	150.7
12	11	financial	9	4.91	 adjective	16350	16622	81.2
13	5	facing	6	4.67	 verb	9455	3942	47.0
13	7	problems	8	5.18	 noun	30529	27495	151.6
13	9	threatened	10	4.19	 verb	3118	4028	15.5
13	11	ruin	4	4.15	 verb	2842	812	14.1
14	5	yellow	6	4.84	 adjective	14006	4557	69.6
14	7	when	4	6.34	 adverb	439946	214281	2185.1
14	9	unpacked	8	2.85	 adjective	143	145	0.7
14	11	clothes	7	4.74	 noun	11012	7325	54.7
15	5	crimson	7	3.1	 adjective	255	401	1.3
15	7	after	5	4.03	 verb	2144	1309	10.6
15	9	through	7	5.94	 preposition	177095	84076	879.6
15	11	online	6	4.61	 noun	8255	595	41.0
16	5	discovered	10	4.72	 verb	10603	6402	52.7
16	7	employee	8	3.74	 noun	1114	3094	5.5
16	9	took	4	5.45	 verb	56568	39160	281.0
16	11	blame	5	4.66	 verb	9215	3154	45.8
17	5	investigation	13	4.66	 noun	9310	5145	46.2
17	7	questioning	11	3.94	 verb	1751	1378	8.7
17	9	witnesses	9	4.02	 noun	2123	1637	10.5
17	11	might	5	5.8	 verb	126440	61811	628.0
18	5	competent	9	3.5	 adjective	643	1231	3.2
18	7	experienced	11	4.47	 adjective	5920	5586	29.4
18	9	would	5	6.45	 verb	567763	255198	2820.0
18	11	invited	7	4.5	 verb	6303	4318	31.3
19	5	realise	7	4.89	 verb	15715	3904	78.1
19	7	writing	7	4.76	 verb	11724	11582	58.2
19	9	article	7	4.09	 noun	2481	6770	12.3
19	11	cause	5	4.83	 noun	13631	13062	67.7
20	5	impressive	10	4.7	 adjective	10094	2962	50.1
20	7	halls	5	3.72	 noun	1049	846	5.2
20	9	featured	8	4.01	 verb	2060	1340	10.2
20	11	pieces	6	4.87	 noun	15044	5575	74.7
21	5	annoyed	7	4.01	 adjective	2063	928	10.2
21	7	residents	9	4.43	 noun	5484	3466	27.2
21	9	preferred	9	3.92	 verb	1666	3156	8.3
21	11	spend	5	5.13	 verb	27414	7502	136.2
22	5	latest	6	4.82	 adjective	13356	6542	66.3
22	7	because	7	6.22	preposition	332401	85185	1651.0
22	9	provided	8	4.43	 verb	5468	15921	27.2
22	11	useful	6	4.51	 adjective	6579	10071	32.7
23	5	strong	6	5.25	 adjective	35613	16126	176.9
23	7	accompanied	11	3.66	 verb	918	3349	4.6
23	9	occasional	10	3.72	 adjective	1053	2616	5.2
23	11	throughout	10	4.81	 preposition	13049	12403	64.8
24	5	better	6	5.76	 adjective	117098	35972	581.6
24	7	equipment	9	4.53	 noun	6777	8925	33.7
24	9	deter	5	6.27	 determiner	379473	171368	1884.8
24	11	thieves	7	3.86	 noun	1473	954	7.3
25	5	yellow	6	4.84	 adjective	14006	4557	69.6
25	7	that	4	7.19	 determiner	3110587	1115382	15449.8
25	9	hiding	6	4.44	 verb	5495	1398	27.3
25	11	pondweed	8	1.81	 noun	12	6	0.1
26	5	clearly	7	5.01	 adverb	20642	15349	102.5
26	7	brown	5	3.72	 noun	1065	145	5.3
26	9	jacket	6	4.29	 noun	3906	3006	19.4
26	11	belonged	8	4.07	 verb	2375	1637	11.8
27	5	evasive	7	2.84	 adjective	138	162	0.7
27	7	that	4	7.19	 determiner	3110587	1115382	15449.8
27	9	gave	4	5.22	 verb	33809	22946	167.9
27	11	explain	7	4.83	 verb	13518	7935	67.1
28	5	customer	8	4.38	 noun	4825	4663	24.0
28	7	every	5	5.74	 determiner	109471	40137	543.7
28	9	item	4	4.7	 noun	10089	3779	50.1
28	11	prepared	8	4.82	 verb	13308	10442	66.1
29	5	despite	7	4.9	 preposition	16171	14592	80.3
29	7	losing	6	4.81	 verb	12933	3714	64.2
29	9	first	5	6.17	 adjective	299625	118700	1488.2
29	11	rounds	6	4.22	 noun	3312	1311	16.5
30	5	because	7	6.22	preposition	332401	85185	1651.0
30	7	used	4	5.67	 verb	94948	66970	471.6
30	9	reasoning	9	3.32	 noun	418	1173	2.1
30	11	explain	7	4.83	 verb	13518	7935	67.1
31	5	cyber	5	3.49	 noun	616	14	3.1
31	7	offences	8	3.98	 noun	1938	2356	9.6
31	9	prompted	8	3.64	 verb	886	1628	4.4
31	11	about	5	6.51	 preposition	657540	197116	3265.9
32	5	disturbed	9	3.68	 verb	958	1666	4.8
32	7	thousands	9	5.03	 noun	21396	5471	106.3
32	9	visitors	8	4.49	 noun	6177	4814	30.7
32	11	flocked	7	3.2	 verb	319	165	1.6
33	5	knowledge	9	4.74	 noun	11175	14588	55.5
33	7	helped	6	4.82	 verb	13172	7650	65.4
33	9	suspects	8	4.41	 noun	5130	707	25.5
33	11	connection	10	4.51	 noun	6546	3498	32.5
34	5	designed	8	4.69	 verb	9900	10073	49.2
34	7	reduce	6	4.54	 verb	7028	7096	34.9
34	9	congestion	10	3.44	 noun	550	455	2.7
34	11	improve	7	4.61	 verb	8243	6208	40.9
35	5	somebody	8	5.29	 noun	39382	7316	195.6
35	7	help	4	5.75	 verb	112603	37976	559.3
35	9	clean	5	4.97	 adjective	18677	6512	92.8
35	11	spacious	8	4.01	 adjective	2065	658	10.3
36	5	known	5	4.13	 adjective	2716	4333	13.5
36	7	providing	9	4.34	 verb	4440	7214	22.1
36	9	accommodation	13	4.21	 noun	3234	4378	16.1
36	11	good	4	6.35	 adjective	454018	80795	2255.0
37	5	appeal	6	4.59	 noun	7862	11002	39.0
37	7	every	5	5.74	 determiner	109471	40137	543.7
37	9	following	9	4.88	 verb	15370	26987	76.3
37	11	election	8	5.07	 noun	23822	9749	118.3
38	5	evidence	8	5.06	 noun	23259	21481	115.5
38	7	military	8	4.82	 adjective	13261	11442	65.9
38	9	conducted	9	3.88	 verb	1510	3026	7.5
38	11	secret	6	4.93	 adjective	17239	5765	85.6
39	5	revised	7	3.51	 verb	644	1557	3.2
39	7	regarding	9	3.97	 verb	1879	2469	9.3
39	9	currency	8	4.19	 noun	3122	3531	15.5
39	11	money	5	5.84	 noun	138993	37367	690.4
40	5	decision	8	5.17	 noun	30038	16792	149.2
40	7	sell	4	5.22	 verb	33397	7709	165.9
40	9	property	8	5.37	 noun	47048	12552	233.7
40	11	retire	6	3.97	 verb	1859	1105	9.2
41	5	tried	5	5.15	 verb	28644	15181	142.3
41	7	rescue	6	4.68	 noun	9568	2319	47.5
41	9	dog	3	5.17	 noun	29680	8079	147.4
41	11	couldn?t	8	6.27	 verb	375249	168392	1863.8
42	5	cancelled	9	4.08	 verb	2449	1214	12.2
42	7	reports	7	4.73	 noun	10702	11169	53.2
42	9	unrest	6	3.59	 noun	777	913	3.9
42	11	concern	7	4.7	 noun	10101	10420	50.2
43	5	money	5	5.84	 noun	138993	37367	690.4
43	7	government	10	5.76	 noun	116509	62268	578.7
43	9	because	7	6.22	 preposition	332401	85185	1651.0
43	11	wanted	6	5.56	 verb	73344	23634	364.3
44	5	largely	7	4.21	 adverb	3243	7352	16.1
44	7	because	7	6.22	 preposition	332401	85185	1651.0
44	9	remote	6	4.32	 adjective	4218	2867	21.0
44	11	makes	5	5.4	 verb	50076	16739	248.7
45	5	home	4	5.86	 noun	146371	52459	727.0
45	7	work	4	5.99	 noun	195874	91354	972.9
45	9	instead	7	4.91	 adverb	16516	7438	82.0
45	11	salsa	5	3.82	 noun	1330	15	6.6
46	5	flower	6	4.5	 noun	6389	2363	31.7
46	7	managed	7	4.9	 verb	16022	7647	79.6
46	9	survive	7	4.64	 verb	8790	3516	43.7
46	11	blazing	7	3.46	 verb	583	632	2.9
47	5	trouble	7	5.08	 noun	24365	9287	121.0
47	7	customers	9	4.67	 noun	9361	6757	46.5
47	9	decided	7	5.13	 verb	27313	15163	135.7
47	11	call	4	5.54	 verb	69295	19484	344.2
48	5	patient	7	4.72	 noun	10649	8232	52.9
48	7	complained	10	3.81	 verb	1299	1885	6.5
48	9	constant	8	4.26	 adjective	3688	5153	18.3
48	11	during	6	5.18	 preposition	30343	44013	150.7
49	5	bright	6	4.82	 adjective	13304	5540	66.1
49	7	bursts	6	3.44	 noun	558	432	2.8
49	9	appeared	8	4.51	 verb	6554	10666	32.6
49	11	come	4	6.26	 verb	362872	69525	1802.3
50	5	steep	5	4.01	 adjective	2045	1609	10.2
50	7	difficult	9	5.4	 adjective	51162	22033	254.1
50	9	climb	5	4.45	 verb	5717	2242	28.4
50	11	cyclists	8	3.64	 noun	870	518	4.3
51	5	stay	4	5.39	 verb	49372	12516	245.2
51	7	politics	8	4.96	 noun	18425	7462	91.5
51	9	completing	10	3.55	 verb	716	912	3.6
51	11	term	4	5.05	 noun	22410	12493	111.3
52	5	receive	7	4.42	 verb	5244	7475	26.0
52	7	honourable	10	4.84	 adjective	13956	887	69.3
52	9	during	6	5.18	 preposition	30343	44013	150.7
52	11	prize	5	4.81	 noun	12961	3184	64.4
53	5	started	7	5.43	 verb	54593	17477	271.2
53	7	someone	7	5.5	 noun	64054	18681	318.1
53	9	damaged	7	4.37	 verb	4715	2573	23.4
53	11	valve	5	3.53	 noun	688	749	3.4
54	5	Museum	6	4.59	 noun	7902	6800	39.2
54	7	Modern	6	5.02	 adjective	21083	13180	104.7
54	9	during	6	5.18	 preposition	30343	44013	150.7
54	11	holiday	7	4.94	 noun	17681	7783	87.8
55	5	unknown	7	4.13	 adjective	2716	4333	13.5
55	7	most	4	5.86	 adverb	146261	98759	726.5
55	9	visiting	8	4.3	 verb	3980	3000	19.8
55	11	tropical	8	3.87	 adjective	1488	1791	7.4
56	5	record	6	5.11	 noun	26257	14978	130.4
56	7	sales	5	4.58	 noun	7732	10414	38.4
56	9	after	5	5.94	 preposition	175461	117138	871.5
56	11	opened	6	4.76	 verb	11495	11614	57.1
57	5	hardly	6	4.63	 adverb	8559	8835	42.5
57	7	contact	7	4.72	 noun	10567	10379	52.5
57	9	outsiders	9	3.38	 noun	481	717	2.4
57	11	maintained	10	3.92	 verb	1656	4092	8.2
58	5	computer	8	4.64	 noun	8818	13841	43.8
58	7	could	5	6.27	 verb	375249	168392	1863.8
58	9	assist	6	3.9	 verb	1593	2534	7.9
58	11	staff	5	4.95	 noun	17945	22723	89.1
59	5	interrupted	11	3.51	 verb	650	1444	3.2
59	7	works	5	5.1	 verb	25431	14528	126.3
59	9	underway	8	3.86	 noun	1474	588	7.3
59	11	replace	7	4.33	 verb	4323	3411	21.5
60	5	series	6	4.97	 noun	18894	14358	93.8
60	7	crime	5	4.9	 noun	16168	7155	80.3
60	9	which	5	6.26	 determiner	370900	372034	1842.2
60	11	unsolved	8	3.24	 adjective	351	131	1.7
61	5	steep	5	4.01	 adjective	2045	1609	10.2
61	7	difficult	9	5.4	 adjective	51162	22033	254.1
61	9	navigate	8	3.52	 verb	661	135	3.3
61	11	proper	6	4.88	 adjective	15399	6505	76.5
62	5	courage	7	4.21	 noun	3259	2109	16.2
62	7	brother	7	5.01	 noun	20562	8529	102.1
62	9	when	4	6.34	 adverb	439946	214281	2185.1
62	11	difficult	9	5.4	 adjective	51162	22033	254.1
63	5	troops	6	4.57	 noun	7419	4833	36.8
63	7	investigate	11	4.3	 verb	3985	2365	19.8
63	9	strange	7	4.83	 adjective	13577	6628	67.4
63	11	detected	8	3.58	 verb	762	1613	3.8
64	5	receive	7	4.42	 verb	5244	7475	26.0
64	7	needed	6	5.14	 verb	28064	16533	139.4
64	9	once	4	5.51	 adverb	65265	27551	324.2
64	11	natural	7	4.89	 adjective	15508	14315	77.0
65	5	offered	7	4.61	 verb	8115	10710	40.3
65	7	position	8	5.16	 noun	29310	23178	145.6
65	9	completing	10	3.55	 verb	716	912	3.6
65	11	long	4	5.8	 adjective	128115	51479	636.3
66	5	another	7	5.79	 determiner	124464	58188	618.2
66	7	dress	5	4.85	 noun	14174	5133	70.4
66	9	matched	7	3.96	 verb	1843	1533	9.2
66	11	velvet	6	3.63	 noun	857	913	4.3
67	5	support	7	5.29	 noun	38917	29835	193.3
