"","sub","item","cond","seq","trialStart","trialEnd","sound","sound_type","regionS","regionE","regionN1","tBnd","tSFIX","ISI","nextFlag","delBnd","delFix","prevFix","nextFix","prevGood","onTarget","inRegion","hook","blink"
"1",1,30,1,1,2690156,2694149,1,NA,205,275,373,2690537,2690550,NA,"ESACC",1,1,153,248.9,"Yes","Yes","Yes","No","No"
"2",1,30,1,1,2690156,2694149,2,NA,373,485,541,2690872,2690891,335,"ESACC",1,-5,248.9,386.7,"Yes","Yes","Yes","No","No"
"3",1,30,1,1,2690156,2694149,3,NA,541,611,709,2691452,2691461,580,"ESACC",1,5,449.9,555.2,"Yes","Yes","Yes","No","No"
"4",1,30,1,1,2690156,2694149,4,NA,709,849,891,2691976,2691990,524,"ESACC",1,0,636.9,778,"Yes","Yes","Yes","No","No"
"5",1,30,1,1,2690156,2694149,5,NA,891,1003,1920,2692712,2692724,736,"ESACC",1,2,838.6,946.3,"Yes","Yes","Yes","No","No"
"6",1,21,1,2,2695832,2699486,1,NA,163,345,429,2696066,2692724,NA,"ESACC",1,3356,71.9,141.4,"Yes","No","No","Yes","Yes"
"7",1,21,1,2,2695832,2699486,2,NA,429,541,611,2696535,2696574,469,"ESACC",NA,-25,213.9,231.5,"Yes","No","No","Yes","No"
"8",1,21,1,2,2695832,2699486,3,NA,611,765,821,2696535,2696574,0,"ESACC",NA,-25,213.9,231.5,"Yes","No","No","Yes","No"
"9",1,21,1,2,2695832,2699486,4,NA,821,961,1003,2698000,2698008,1465,"ESACC",1,6,696,852.2,"Yes","Yes","Yes","No","No"
"10",1,21,1,2,2695832,2699486,5,NA,1003,1087,1920,2698393,2698397,393,"ESACC",1,10,852.2,993.8,"Yes","No","No","Yes","No"
"11",1,38,1,3,2703644,2708453,1,NA,205,331,387,2704083,2704095,NA,"ESACC",1,2,129.6,222,"Yes","Yes","Yes","No","No"
"12",1,38,1,3,2703644,2708453,2,NA,387,513,555,2705167,2705190,1084,"ESACC",1,-9,249.4,412.3,"Yes","Yes","Yes","No","No"
"13",1,38,1,3,2703644,2708453,3,NA,555,681,779,2706148,2706163,981,"ESACC",1,-1,513,616.6,"Yes","Yes","Yes","No","No"
"14",1,38,1,3,2703644,2708453,4,NA,779,919,961,2706890,2706904,742,"ESACC",1,0,711.6,839.2,"Yes","Yes","Yes","No","No"
"15",1,38,1,3,2703644,2708453,5,NA,961,1059,1920,2707394,2707412,504,"ESACC",1,-4,911.5,1073.3,"Yes","No","Yes","No","No"
"16",1,29,1,4,2710529,2713511,1,NA,205,331,443,2710910,2710922,NA,"ESACC",1,2,130.2,244.3,"Yes","Yes","Yes","No","No"
"17",1,29,1,4,2710529,2713511,2,NA,443,555,695,2711640,2711662,730,"ESACC",1,-8,375.3,498.4,"Yes","Yes","Yes","No","No"
"18",1,29,1,4,2710529,2713511,3,NA,695,793,849,2712369,2712374,729,"ESACC",NA,9,607.4,719.9,"Yes","Yes","Yes","No","No"
"19",1,29,1,4,2710529,2713511,4,NA,849,933,1017,2712501,2712511,132,"ESACC",1,4,719.9,867.7,"Yes","Yes","Yes","No","No"
"20",1,29,1,4,2710529,2713511,5,NA,1017,1115,1920,2712956,2712964,455,"ESACC",2,6,975.4,1061,"Yes","Yes","Yes","No","No"
"21",1,34,1,5,2715392,2718443,1,NA,149,247,303,2715608,2712964,NA,"ESACC",NA,2658,69.9,142.8,"Yes","No","No","Yes","No"
"22",1,34,1,5,2715392,2718443,2,NA,303,429,471,2716364,2716377,756,"ESACC",1,1,233.1,324.7,"Yes","Yes","Yes","No","No"
"23",1,34,1,5,2715392,2718443,3,NA,471,569,681,2716598,2716611,234,"ESACC",1,1,324.7,529.1,"Yes","Yes","Yes","No","No"
"24",1,34,1,5,2715392,2718443,4,NA,681,835,891,2717173,2717197,575,"ESACC",1,-10,619.1,763.1,"Yes","Yes","Yes","No","No"
"25",1,34,1,5,2715392,2718443,5,NA,891,1003,1920,2717447,2717457,274,"ESACC",1,4,763.1,901.8,"Yes","Yes","Yes","No","No"
"26",1,26,1,6,2720081,2723507,1,NA,205,359,429,2720508,2720520,NA,"ESACC",1,2,145.7,246.5,"Yes","Yes","Yes","No","No"
"27",1,26,1,6,2720081,2723507,2,NA,429,541,597,2720753,2720773,245,"ESACC",1,-6,246.5,419.8,"Yes","No","No","Yes","No"
"28",1,26,1,6,2720081,2723507,3,NA,597,681,793,2721324,2721339,571,"ESACC",1,-1,557.5,675.7,"Yes","Yes","Yes","No","No"
"29",1,26,1,6,2720081,2723507,4,NA,793,891,961,2721962,2721967,638,"ESACC",NA,9,757,829.5,"Yes","Yes","Yes","No","No"
"30",1,26,1,6,2720081,2723507,5,NA,961,1087,1920,2722648,2722654,686,"ESACC",1,8,944.6,983.5,"Yes","Yes","Yes","No","No"
"31",1,13,1,7,2725763,2729385,1,NA,233,373,485,2726410,2726420,NA,"ESACC",1,4,135.5,247.7,"Yes","Yes","Yes","No","No"
"32",1,13,1,7,2725763,2729385,2,NA,485,583,723,2727273,2727302,863,"ESACC",1,-15,409.6,595.7,"Yes","No","Yes","No","No"
"33",1,13,1,7,2725763,2729385,3,NA,723,849,919,2727698,2727706,425,"ESACC",1,6,548.9,712.9,"Yes","No","No","Yes","No"
"34",1,13,1,7,2725763,2729385,4,NA,919,1073,1115,2728208,2728227,510,"ESACC",1,-5,620.9,907.3,"Yes","No","No","Yes","No"
"35",1,13,1,7,2725763,2729385,5,NA,1115,1185,1920,2728611,2728628,403,"ESACC",NA,-3,1010.5,1232,"Yes","No","Yes","No","No"
"36",1,20,1,8,2735478,2739001,1,NA,149,233,289,2735706,2728628,NA,"ESACC",1,7092,73.4,134.1,"Yes","No","No","Yes","No"
"37",1,20,1,8,2735478,2739001,2,NA,289,443,541,2736242,2736264,536,"ESACC",1,-8,213.5,332.5,"Yes","Yes","Yes","No","No"
"38",1,20,1,8,2735478,2739001,3,NA,541,625,695,2736777,2736786,535,"ESACC",3,5,460,570.5,"Yes","Yes","Yes","No","No"
"39",1,20,1,8,2735478,2739001,4,NA,695,821,961,2737510,2737525,733,"ESACC",1,-1,628.3,776.2,"Yes","Yes","Yes","No","No"
"40",1,20,1,8,2735478,2739001,5,NA,961,1059,1920,2738123,2738137,613,"ESACC",1,0,884.3,1028.8,"Yes","Yes","Yes","No","No"
"41",1,12,1,9,2742665,2746358,1,NA,191,317,443,2743084,2743099,NA,"ESACC",1,-1,163.1,221.6,"Yes","Yes","Yes","No","No"
"42",1,12,1,9,2742665,2746358,2,NA,443,527,569,2743559,2743583,475,"ESACC",1,-10,339.9,516,"Yes","Yes","Yes","No","Yes"
"43",1,12,1,9,2742665,2746358,3,NA,569,639,737,2744143,2744149,584,"ESACC",NA,8,463.2,609.4,"Yes","Yes","Yes","No","No"
"44",1,12,1,9,2742665,2746358,4,NA,737,835,891,2744827,2744840,684,"ESACC",1,1,686,789.8,"Yes","Yes","Yes","No","No"
"45",1,12,1,9,2742665,2746358,5,NA,891,1031,1920,2745444,2745470,617,"ESACC",2,-12,757.4,982.9,"Yes","Yes","Yes","No","No"
"46",1,17,1,10,2751653,2754415,1,NA,205,317,373,2752016,2752025,NA,"ESACC",1,5,113.7,244.2,"Yes","Yes","Yes","No","No"
"47",1,17,1,10,2751653,2754415,2,NA,373,569,611,2752294,2752316,278,"ESACC",2,-8,244.2,409.4,"Yes","Yes","Yes","No","No"
"48",1,17,1,10,2751653,2754415,3,NA,611,779,835,2752815,2752840,521,"ESACC",2,-11,306.1,654.1,"Yes","Yes","Yes","No","No"
"49",1,17,1,10,2751653,2754415,4,NA,835,975,1031,2753220,2753242,405,"ESACC",1,-8,602.6,857.3,"Yes","Yes","Yes","No","No"
"50",1,17,1,10,2751653,2754415,5,NA,1031,1115,1920,2753667,2753678,447,"ESACC",1,3,808.3,1076.5,"Yes","Yes","Yes","No","No"
"51",1,4,1,11,2758033,2762103,1,NA,303,401,457,2758637,2758660,NA,"ESACC",1,-9,189.8,347.9,"Yes","Yes","Yes","No","No"
"52",1,4,1,11,2758033,2762103,2,NA,457,569,695,2759046,2759071,409,"ESACC",1,-11,315.8,498.4,"Yes","Yes","Yes","No","No"
"53",1,4,1,11,2758033,2762103,3,NA,695,765,821,2759836,2759989,790,"ESACC",1,-139,598,814.9,"Yes","No","Yes","No","No"
"54",1,4,1,11,2758033,2762103,4,NA,821,933,989,2760528,2760544,692,"ESACC",1,-2,742.4,901.6,"Yes","Yes","Yes","No","No"
"55",1,4,1,11,2758033,2762103,5,NA,989,1101,1920,2760967,2760982,439,"ESACC",1,-1,875.4,1059.6,"Yes","Yes","Yes","No","No"
"56",1,32,1,12,2767807,2771328,1,NA,247,331,387,2768245,2768258,NA,"ESACC",1,1,171.7,270.1,"Yes","Yes","Yes","No","No"
"57",1,32,1,12,2767807,2771328,2,NA,387,527,569,2768503,2768525,258,"ESACC",1,-8,270.1,418.7,"Yes","Yes","Yes","No","No"
"58",1,32,1,12,2767807,2771328,3,NA,569,709,751,2768909,2768933,406,"ESACC",1,-10,367.7,605.8,"Yes","Yes","Yes","No","No"
"59",1,32,1,12,2767807,2771328,4,NA,751,877,933,2769417,2769438,508,"ESACC",1,-7,547.7,754.7,"Yes","Yes","Yes","No","No"
"60",1,32,1,12,2767807,2771328,5,NA,933,1045,1920,2769946,2769957,529,"ESACC",1,3,814.8,974.2,"Yes","Yes","Yes","No","No"
"61",1,39,1,13,2773285,2777656,1,NA,205,275,415,2773484,2769957,NA,"ESACC",1,3541,54.2,181,"Yes","No","No","Yes","No"
