subject	item	sentcond	questcond	dependnum	starttime	endtime	subresp	correctresp	accuracy
1	1	2	2	1	4936063	4937468	0	0	1
1	2	2	2	1	4945111	4946435	1	1	1
1	3	2	2	1	4952742	4953693	0	0	1
1	5	2	2	1	4965475	4967247	0	0	1
1	13	2	2	1	5027660	5029093	1	1	1
1	46	3	3	1	5041659	5042967	0	0	1
1	11	2	2	1	5141801	5144776	0	0	1
1	4	2	2	1	5167888	5170217	1	1	1
1	43	3	3	1	5180296	5181708	0	0	1
1	8	2	2	1	5198894	5200713	1	1	1
1	49	3	3	1	5219928	5221046	0	0	1
1	10	2	2	1	5230140	5233381	1	1	1
1	6	2	2	1	5241514	5242618	0	0	1
1	50	3	3	1	5275204	5276784	1	1	1
1	9	2	2	1	5300885	5302143	1	1	1
1	52	3	3	1	5312497	5313970	1	1	1
1	47	3	3	1	5348723	5350294	1	1	1
1	53	3	3	1	5410329	5417248	0	0	1
1	12	2	2	1	5431847	5435752	0	0	1
1	44	3	3	1	5444534	5446706	0	0	1
1	51	3	3	1	5479755	5481267	1	1	1
1	45	3	3	1	5490487	5492758	0	0	1
1	41	3	3	1	5500155	5501953	1	1	1
1	48	3	3	1	5556340	5559121	0	0	1
1	7	2	2	1	5566118	5587651	1	1	1
1	42	3	3	1	5633912	5635141	1	1	1
1	88	1	1	1	5688319	5690289	0	0	1
1	89	1	1	1	5706751	5707842	0	0	1
1	84	1	1	1	5714492	5715788	1	1	1
1	83	1	1	1	5736609	5738147	1	1	1
1	85	1	1	1	5794629	5796247	0	0	1
1	82	1	1	1	5808831	5810305	0	0	1
1	81	1	1	1	5815317	5817978	0	0	1
1	90	1	1	1	5837668	5843897	1	1	1
1	91	1	1	1	5849777	5850635	1	1	1
1	87	1	1	1	5855965	5857253	1	1	1
1	92	1	1	1	5868827	5870398	0	0	1
1	86	1	1	1	5875756	5877585	1	1	1
1	93	1	1	1	5906751	5916720	1	1	1
