New_ID	ID	Sentence	nword
1	1	The couple bought another carpet for their living room before returning home from shopping.	14
2	2	Theodore eventually found the right road after getting lost twice driving his car in the area.	16
3	5	The teenagers used the private area behind the apartments to practise playing basketball.	13
4	8	Susan contemplated buying the antique painting when she visited the auction house in the capital.	15
5	11	Cathy was nervous about giving the short speech before the panel of judges.	13
6	14	The midwife admired the serene baby following the difficult birth earlier in the day.	14
7	18	The cook ordered the fresh organic fruits to support the farmers who produce them locally.	15
8	22	The mayor stepped down after his insensitive comments created a social media scandal.	13
9	26	"Yesterday, Nicole made a brief comment concerning her manager that caused a scandal."	13
10	28	"Without her glasses, Margaret struggled to read the road signs during her driving test."	14
11	30	The workers replaced the faulty bathtub which had caused the entire first floor to be flooded.	16
12	34	The clever merchant invested money in real estate during the financial crisis that shook the market.	16
13	39	"Katy remained positive, despite facing financial problems that threatened to ruin her business."	13
14	3	Carmen couldn't find her yellow shirt when she unpacked her clothes from the trip.	14
15	4	His mother purchased the crimson cottage after going through many online ads for a summer home.	16
16	6	"When the issue was discovered, the employee unwisely took the blame for the incident."	14
17	7	The officer started his investigation by questioning any witnesses who might have seen the perpetrator.	15
18	9	"For the position, only competent and experienced candidates would be invited for an interview."	14
19	10	The young author didn?t realise that writing her article would cause so much controversy.	14
20	12	The new hotel had impressive dining halls that featured expensive pieces of art.	13
21	13	"The loud construction noise annoyed many residents, who preferred to spend a quiet afternoon at home."	16
22	15	The lawyers criticised the latest report because it provided no useful evidence for the case.	15
23	16	"The forecast warned about strong winds, accompanied by occasional rain, throughout most of the day."	15
24	17	They debated whether using better surveillance equipment would deter potential thieves and improve security.	14
25	19	The child pestered the yellow fish that was hiding behind pondweed leaves in the aquarium.	15
26	20	The witness remembered very clearly the brown leather jacket that belonged to the suspect.	14
27	21	The detective noted the evasive statement that Sam gave to explain his suspicious behaviour.	14
28	23	The waitress assured the customer that every food item was prepared from fresh ingredients.	14
29	24	The players remained focused despite initially losing the first three rounds of the game.	14
30	25	The student lost points because she used faulty reasoning to explain the concept.	13
31	27	The increasing number of cyber crime offences has prompted discussions about tougher laws.	13
32	29	The residents? peace was disturbed by thousands of visitors who flocked to the town centre.	15
33	31	The technician provided expert knowledge that helped locate suspects in connection with the robbery.	14
34	32	The new street was designed to reduce traffic congestion and improve safety for all road users.	16
35	33	The old lady needed somebody to help her clean the spacious three-bedroom flat.	13
36	35	The small hotel was known for providing cheap accommodation and good quality service.	13
37	36	The candidate wanted to appeal to every media following the election campaign this year.	14
38	37	The general examined the evidence of military drills conducted in secret by the enemy.	14
39	38	The central bank published revised regulations regarding foreign currency and money transfers from abroad.	14
40	40	The landlord made the decision to sell his property and retire to the countryside.	14
41	42	The brave little boy tried to rescue the dog which couldn?t get out of the river.	16
42	43	"Surprisingly, the trip was cancelled after reports of unrest caused concern among the organisers."	14
43	46	Some local farmers received money from government programmes because they wanted to buy more land.	15
44	50	The enormous cave is largely unexplored because it's remote location makes it difficult to reach. 	15
45	53	"Melissa decided against going home after work and, instead, took salsa lessons with her friends."	15
46	55	"To Jane?s surprise, the flower somehow managed to survive the blazing heat with very little water."	16
47	58	The taxi driver had trouble finding customers and decided to call it a day.	14
48	60	The doctor examined the patient who complained of constant headaches during the past week.	14
49	64	The scientists investigated the bright energy bursts that appeared to come from outer space.	14
50	66	"Because the road looked steep and difficult to climb, the cyclists pushed their bikes."	14
51	71	The president wants to stay in politics after completing his term later this year.	14
52	76	Kristin was surprised to receive an honourable mention during the prize award ceremony.	13
53	77	The car engine problems started because someone had damaged a valve during the maintenance.	14
54	41	Hannah enjoyed visiting the Museum of Modern Art during her holiday in the USA.	14
55	44	The beautiful island was unknown to most people visiting the tropical country due to its small size.	17
